,compound0,compound1,similarity
0,DB00153,DB00181,0.0678
1,DB00153,DB00184,0.1391
2,DB00153,DB00186,0.0863
3,DB00153,DB00188,0.1266
4,DB00153,DB00191,0.0545
5,DB00153,DB00195,0.1972
6,DB00153,DB00196,0.0559
7,DB00153,DB00200,0.1223
8,DB00153,DB00201,0.1026
9,DB00153,DB00203,0.1279
10,DB00153,DB00204,0.075
11,DB00153,DB00205,0.063
12,DB00153,DB00208,0.1077
13,DB00153,DB00209,0.2061
14,DB00153,DB00210,0.1765
15,DB00153,DB00211,0.1085
16,DB00153,DB00213,0.0784
17,DB00153,DB00214,0.1233
18,DB00153,DB00215,0.0946
19,DB00153,DB00216,0.1266
20,DB00153,DB00222,0.1839
21,DB00153,DB00231,0.1007
22,DB00153,DB00238,0.1314
23,DB00153,DB00243,0.1429
24,DB00153,DB00244,0.0734
25,DB00153,DB00250,0.0472
26,DB00153,DB00252,0.0593
27,DB00153,DB00257,0.039
28,DB00153,DB00261,0.08
29,DB00153,DB00262,0.0
30,DB00153,DB00264,0.1504
31,DB00153,DB00268,0.0896
32,DB00153,DB00270,0.1558
33,DB00153,DB00275,0.0809
34,DB00153,DB00277,0.087
35,DB00153,DB00280,0.1611
36,DB00153,DB00281,0.1111
37,DB00153,DB00285,0.2206
38,DB00153,DB00287,0.2159
39,DB00153,DB00291,0.0451
40,DB00153,DB00292,0.0916
41,DB00153,DB00294,0.3265
42,DB00153,DB00296,0.1912
43,DB00153,DB00297,0.1871
44,DB00153,DB00303,0.1529
45,DB00153,DB00305,0.1379
46,DB00153,DB00307,0.2
47,DB00153,DB00310,0.0714
48,DB00153,DB00313,0.0755
49,DB00153,DB00316,0.0727
50,DB00153,DB00317,0.0941
51,DB00153,DB00321,0.1418
52,DB00153,DB00323,0.0746
53,DB00153,DB00328,0.0805
54,DB00153,DB00330,0.0847
55,DB00153,DB00331,0.0392
56,DB00153,DB00333,0.1111
57,DB00153,DB00334,0.125
58,DB00153,DB00335,0.1364
59,DB00153,DB00339,0.019
60,DB00153,DB00341,0.1139
61,DB00153,DB00346,0.1509
62,DB00153,DB00350,0.1475
63,DB00153,DB00351,0.2727
64,DB00153,DB00356,0.0541
65,DB00153,DB00358,0.1589
